ID|DateObs|TimeObs|Telescope|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2020-12-03|18:08:15|SLT|FU_Ori-20201203@180802-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.2672|1022.0020|B_Astrodon_2018|2459187.255729167|30.0|19.3700|2.9344|66.3442|1.0906
2|2020-12-03|18:09:06|SLT|FU_Ori-20201203@180901-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.4586|1022.2878|V_Astrodon_2018|2459187.2563194446|10.0|20.6069|2.4423|66.1823|1.0914
3|2020-12-03|18:09:36|SLT|FU_Ori-20201203@180932-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1025.0932|1022.5661|R_Astrodon_2018|2459187.256666667|5.0|21.3630|2.7752|66.0868|1.0921
4|2020-12-03|18:10:09|SLT|FU_Ori-20201203@180957-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1025.6085|1022.0477|B_Astrodon_2018|2459187.257048611|30.0|19.3990|2.8440|65.9814|1.0936
5|2020-12-03|18:11:09|SLT|FU_Ori-20201203@181104-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1025.9668|1022.5383|V_Astrodon_2018|2459187.2577430555|10.0|20.6180|2.3455|65.7893|1.0947
6|2020-12-03|18:11:39|SLT|FU_Ori-20201203@181135-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1026.0814|1022.6771|R_Astrodon_2018|2459187.2580902777|5.0|21.3747|2.5630|65.6929|1.0954
7|2020-12-06|19:26:32|SLT|FU_Ori-20201206@192617-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|997.0829|1063.8010|B_Astrodon_2018|2459190.3100925926|30.0|19.4560|2.5498|47.2010|1.3586
8|2020-12-06|19:27:23|SLT|FU_Ori-20201206@192718-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|997.3928|1064.8913|V_Astrodon_2018|2459190.3106828704|10.0|20.5769|2.4426|47.0101|1.3611
9|2020-12-06|19:27:52|SLT|FU_Ori-20201206@192748-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|997.4787|1065.8528|R_Astrodon_2018|2459190.3110185186|5.0|21.3088|2.8433|46.9015|1.3631
10|2020-12-06|19:28:26|SLT|FU_Ori-20201206@192814-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|997.8500|1065.0224|B_Astrodon_2018|2459190.311412037|30.0|19.3958|2.6130|46.7742|1.3679
